_time_gateway,SNR_PMP_UW_S_1,ICF_SCS_FG_T_2,ICF_TMS_NOX_A,ACT_SNR_PMP_BO_6,ACT_SNR_PMP_BO_0
2025-11-20 15:39:34,17.6812496,1090.53748,0.762499988,,
2025-11-20 15:39:35,17.6812496,1090.53748,0.762499988,,22.6812496
2025-11-20 15:39:36,17.6812496,1090.53748,0.762499988,,
2025-11-20 15:39:37,17.6812496,1089.88745,0.625,,
2025-11-20 15:39:38,17.6812496,1089.40002,0.762499988,,
2025-11-20 15:39:39,17.6812496,1089.40002,0.762499988,,
2025-11-20 15:39:40,,,,,22.6812496
2025-11-20 15:39:41,17.6812496,1088.0188,0.762499988,,
2025-11-20 15:39:42,17.6812496,1088.0188,0.762499988,,
2025-11-20 15:39:43,17.6812496,1088.0188,0.725000024,,
2025-11-20 15:39:44,17.6812496,1088.18127,0.987500012,,
2025-11-20 15:39:45,17.6812496,1088.18127,0.987500012,,22.6812496
2025-11-20 15:39:46,17.6812496,1088.0188,0.737500012,,
2025-11-20 15:39:47,17.6812496,1088.0188,0.737500012,,
2025-11-20 15:39:48,17.6812496,1088.99377,0.662500024,,
2025-11-20 15:39:49,17.6812496,1087.0437,0.737500012,,
2025-11-20 15:39:50,17.6812496,1087.0437,0.737500012,,22.6812496
2025-11-20 15:39:51,17.6812496,1087.53125,1.04999995,,
2025-11-20 15:39:52,17.6812496,1087.53125,1.04999995,,
2025-11-20 15:39:53,17.6812496,1084.84998,0.6875,,
2025-11-20 15:39:54,17.6812496,1085.90625,0.824999988,,
2025-11-20 15:39:55,17.6812496,1085.90625,0.824999988,,22.6812496
2025-11-20 15:39:56,17.6812496,1085.90625,0.612500012,,
2025-11-20 15:39:57,17.6812496,1085.5813,0.875,,
2025-11-20 15:39:58,17.6812496,1085.90625,0.662500024,,
2025-11-20 15:39:59,17.6812496,1085.90625,0.662500024,,
2025-11-20 15:40:00,17.6812496,1085.82495,0.8125,,22.6812496
2025-11-20 15:40:01,17.6812496,1085.90625,0.762499988,,
2025-11-20 15:40:02,17.6812496,1085.90625,0.762499988,,
2025-11-20 15:40:03,17.6812496,1084.28125,1.10000002,,
2025-11-20 15:40:04,17.6812496,1084.28125,1.10000002,,
2025-11-20 15:40:05,17.6812496,1081.76245,0.762499988,,22.6812496
2025-11-20 15:40:06,17.6812496,1081.76245,0.762499988,,
2025-11-20 15:40:07,17.6812496,1081.5188,0.912500024,,
2025-11-20 15:40:08,17.6812496,1080.21875,0.800000012,,
2025-11-20 15:40:09,17.6812496,1080.21875,0.800000012,,
2025-11-20 15:40:10,17.6812496,1080.21875,0.762499988,,22.6812496
2025-11-20 15:40:11,17.6812496,1078.83752,0.762499988,,
2025-11-20 15:40:12,17.6812496,1079.16248,0.8125,,
2025-11-20 15:40:13,17.6812496,1078.43127,0.875,,
2025-11-20 15:40:14,17.6812496,1078.43127,0.875,,
2025-11-20 15:40:15,17.6812496,1078.1062,0.625,,22.6812496
2025-11-20 15:40:16,17.6812496,1078.1062,0.625,,
2025-11-20 15:40:17,17.6812496,1078.83752,0.862500012,,
2025-11-20 15:40:18,17.6812496,1078.83752,0.862500012,,
2025-11-20 15:40:19,17.6812496,1078.2688,0.712499976,,
2025-11-20 15:40:20,17.6812496,1077.4563,0.762499988,,22.6812496
2025-11-20 15:40:21,17.6812496,1077.53748,0.574999988,,
2025-11-20 15:40:22,17.6812496,1077.53748,0.574999988,,
2025-11-20 15:40:23,17.6812496,1074.77502,0.662500024,,
2025-11-20 15:40:24,17.6812496,1074.9375,0.787500024,,
2025-11-20 15:40:25,17.6812496,1074.9375,0.787500024,,22.6812496
2025-11-20 15:40:26,17.6812496,1074.8562,0.824999988,,
2025-11-20 15:40:27,17.6812496,1074.8562,0.824999988,,
2025-11-20 15:40:28,17.6812496,1074.0437,0.824999988,,
2025-11-20 15:40:29,17.6812496,1074.36877,0.725000024,,
2025-11-20 15:40:30,17.6812496,1074.36877,0.725000024,,22.6812496
2025-11-20 15:40:31,17.6812496,1071.84998,0.600000024,,
